Port Name,Latitude,Longitude,Port_Type,Port Size,UN/LOCODE,Source URL
Tadoussac Harbor,"48° 8' 23"" N","69° 42' 55"" W","Pier, Jetty or Wharf",Very Small,CATAD,http://www.worldportsource.com/ports/CAN_Tadoussac_Harbor_4088.php
Sturdies Bay Harbor,"48° 52' 35"" N","123° 18' 53"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Sturdies_Bay_Harbor_4011.php
Port of Thorold,"43° 7' 3"" N","79° 11' 21"" W",River Port,Small,CATHD,http://www.worldportsource.com/ports/CAN_Port_of_Thorold_1821.php
Summerside Harbor,"46° 23' 19"" N","63° 47' 21"" W",Harbor,Small,CASUM,http://www.worldportsource.com/ports/CAN_Summerside_Harbor_4087.php
Terrington Basin Harbor,"53° 20' 54"" N","60° 24' 15"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/CAN_Terrington_Basin_Harbor_4019.php
Stormont Harbor,"45° 13' 9"" N","61° 44' 10"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Stormont_Harbor_4031.php
Port of Stewart,"55° 55' 43"" N","129° 59' 35"" W","Pier, Jetty or Wharf",Small,CASTW,http://www.worldportsource.com/ports/CAN_Port_of_Stewart_1490.php
Port of Stephenville,"48° 32' 7"" N","58° 32' 42"" W",Seaport,Small,CASTV,http://www.worldportsource.com/ports/CAN_Port_of_Stephenville_2637.php
St. Romuald Harbor,"46° 45' 14"" N","71° 14' 53"" W","Pier, Jetty or Wharf",Very Small,CASRO,http://www.worldportsource.com/ports/CAN_St_Romuald_Harbor_4086.php
Port of St. John's *,"47° 33' 45"" N","52° 41' 51"" W",Harbor,Medium,CASJF,http://www.worldportsource.com/ports/CAN_Port_of_St_John_s_212.php
Port of St. Catharines,"43° 9' 9"" N","79° 14' 44"" W",River Port,Small,CASCA,http://www.worldportsource.com/ports/CAN_Port_of_St_Catharines_1820.php
St. Anthony Harbor,"51° 22' 0"" N","55° 34' 59"" W","Pier, Jetty or Wharf",Very Small,CASAT,http://www.worldportsource.com/ports/CAN_St_Anthony_Harbor_4085.php
St Lawrence Seaway,"44° 55' 47"" N","75° 7' 8"" W",Waterway Region,Large,CASLW,http://www.worldportsource.com/ports/CAN_St_Lawrence_Seaway_4398.php
Port of Squamish,"49° 40' 59"" N","123° 10' 0"" W",Seaport,Small,CASQA,http://www.worldportsource.com/ports/CAN_Port_of_Squamish_1493.php
Port of Springdale,"49° 29' 59"" N","56° 3' 56"" W","Pier, Jetty or Wharf",Small,CASPD,http://www.worldportsource.com/ports/CAN_Port_of_Springdale_2645.php
Port of St. Andrews,"45° 4' 29"" N","67° 3' 20"" W",Harbor,Small,CASAD,http://www.worldportsource.com/ports/CAN_Port_of_St_Andrews_2090.php
Souris Harbor,"46° 20' 54"" N","62° 15' 3"" W",Harbor,Small,CASOU,http://www.worldportsource.com/ports/CAN_Souris_Harbor_4083.php
Spragge Harbor,"46° 11' 50"" N","82° 41' 50"" W","Pier, Jetty or Wharf",Very Small,CASPR,http://www.worldportsource.com/ports/CAN_Spragge_Harbor_4084.php
