Port Name,Latitude,Longitude,Port_Type,Port Size,UN/LOCODE,Source URL
"Kaumalapau Harbor, Lanai","20° 47' 12"" N","156° 59' 29"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/USA_HI_Kaumalapau_Harbor_Lanai_826.php
"Kahului Harbor, Maui *","20° 53' 44"" N","156° 28' 19"" W",Harbor,Small,USOGG,http://www.worldportsource.com/ports/USA_HI_Kahului_Harbor_Maui_824.php
Tenby Harbor,"51° 40' 20"" N","4° 41' 50"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_Tenby_Harbor_3849.php
Port of Kake *,"56° 58' 17"" N","133° 56' 29"" W",Harbor,Small,USKAE,http://www.worldportsource.com/ports/USA_AK_Port_of_Kake_3496.php
Port of Teignmouth,"50° 32' 37"" N","3° 30' 1"" W",Harbor,Small,GBTNM,http://www.worldportsource.com/ports/GBR_Port_of_Teignmouth_483.php
Symbister Harbour,"60° 20' 33"" N","1° 1' 40"" W",Harbor,Small,GBSYM,http://www.worldportsource.com/ports/GBR_Symbister_Harbour_2148.php
Port of Kailua Kona *,"19° 38' 21"" N","155° 59' 46"" W","Pier, Jetty or Wharf",Small,USKHH,http://www.worldportsource.com/ports/USA_HI_Port_of_Kailua_Kona_3082.php
Port of Juneau *,"58° 22' 45"" N","134° 40' 19"" W",Harbor,Small,USJNU,http://www.worldportsource.com/ports/USA_AK_Port_of_Juneau_3485.php
Port of Swansea *,"51° 36' 57"" N","3° 55' 5"" W",Seaport,Medium,GBSWA,http://www.worldportsource.com/ports/GBR_Port_of_Swansea_481.php
Sutton Bridge Harbor,"52° 46' 22"" N","0° 11' 56"" E",River Port,Small,GBPSB,http://www.worldportsource.com/ports/GBR_Sutton_Bridge_Harbor_4560.php
Port of Tarbert,"57° 53' 48"" N","6° 48' 0"" W","Pier, Jetty or Wharf",Small,GBTAB,http://www.worldportsource.com/ports/GBR_Port_of_Tarbert_2833.php
Port of Stranraer,"54° 54' 28"" N","5° 1' 34"" W",Harbor,Small,GBSTR,http://www.worldportsource.com/ports/GBR_Port_of_Stranraer_2863.php
Strangford Harbor,"54° 22' 19"" N","5° 33' 19"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/GBR_Strangford_Harbor_4559.php
Port of Sunderland *,"54° 54' 25"" N","1° 21' 35"" W",Seaport,Medium,GBSUN,http://www.worldportsource.com/ports/GBR_Port_of_Sunderland_1373.php
Sullom Voe Harbour,"60° 27' 25"" N","1° 17' 6"" W",Seaport,Small,GBSUL,http://www.worldportsource.com/ports/GBR_Sullom_Voe_Harbour_2140.php
Port of Stromness,"58° 57' 44"" N","3° 17' 48"" W",Harbor,Small,GBSNS,http://www.worldportsource.com/ports/GBR_Port_of_Stromness_4519.php
Port of Stornoway,"58° 12' 23"" N","6° 23' 20"" W",Harbor,Small,GBSTO,http://www.worldportsource.com/ports/GBR_Port_of_Stornoway_2834.php
Stonehaven Harbour,"56° 57' 33"" N","2° 12' 6"" W",Harbor,Small,GBSVN,http://www.worldportsource.com/ports/GBR_Stonehaven_Harbour_2805.php
Starcross Ferry,"50° 37' 37"" N","3° 26' 47"" W",Ferry,Small,,http://www.worldportsource.com/ports/GBR_Starcross_Ferry_3878.php
Staithes Harbor,"54° 33' 34"" N","0° 47' 24"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/GBR_Staithes_Harbor_3833.php
Port of Stockinish,"57° 48' 45"" N","6° 49' 3"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/GBR_Port_of_Stockinish_2853.php
St Sampson Harbour,"49° 28' 51"" N","2° 30' 51"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_St_Sampson_Harbour_3883.php
St Peter Port Harbour,"49° 27' 27"" N","2° 31' 51"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_St_Peter_Port_Harbour_3884.php
Port of St Mary's,"49° 54' 51"" N","6° 18' 46"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/GBR_Port_of_St_Mary_s_2925.php
Port of Zeytinburnu,"40° 58' 49"" N","28° 53' 44"" E","Pier, Jetty or Wharf",Small,TRZEY,http://www.worldportsource.com/ports/TUR_Port_of_Zeytinburnu_2078.php
Port of Zonguldak,"41° 27' 25"" N","31° 47' 5"" E",Harbor,Small,TRZON,http://www.worldportsource.com/ports/TUR_Port_of_Zonguldak_2074.php
Port of Tekirdag *,"40° 58' 3"" N","27° 30' 45"" E",Harbor,Small,TRTEK,http://www.worldportsource.com/ports/TUR_Port_of_Tekirdag_2060.php
Port of Sinop,"42° 1' 24"" N","35° 8' 54"" E",Harbor,Small,TRSIC,http://www.worldportsource.com/ports/TUR_Port_of_Sinop_3632.php
Port of Sedef,"40° 46' 3"" N","29° 32' 4"" E",Port Terminal,Medium,,http://www.worldportsource.com/ports/TUR_Port_of_Sedef_2081.php
Port of Trabzon,"41° 0' 20"" N","39° 44' 18"" E",Harbor,Small,TRTZX,http://www.worldportsource.com/ports/TUR_Port_of_Trabzon_422.php
Port of Tasucu,"36° 18' 46"" N","33° 53' 5"" E",Harbor,Small,TRTAS,http://www.worldportsource.com/ports/TUR_Port_of_Tasucu_3653.php
Port of Indiana-Jeffersonville *,"38° 16' 45"" N","85° 43' 6"" W",River Port,Small,USJFV,http://www.worldportsource.com/ports/USA_IN_Port_of_Indiana_Jeffersonville_802.php
Port of Samsun,"41° 17' 59"" N","36° 20' 40"" E",Seaport,Small,TRSSX,http://www.worldportsource.com/ports/TUR_Port_of_Samsun_2066.php
Jonesport Harbor,"44° 31' 57"" N","67° 35' 38"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/USA_ME_Jonesport_Harbor_4178.php
Port of Joliet *,"41° 31' 59"" N","88° 4' 59"" W",River Port,Small,,http://www.worldportsource.com/ports/USA_IL_Port_of_Joliet_4885.php
Port of International Falls,"48° 36' 17"" N","93° 23' 11"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_MN_Port_of_International_Falls_3744.php
Port of Jacksonville *,"30° 22' 51"" N","81° 33' 52"" W",Seaport,Large,USJAX,http://www.worldportsource.com/ports/USA_FL_Port_of_Jacksonville_225.php
Port of Hydaburg *,"55° 12' 21"" N","132° 49' 43"" W","Pier, Jetty or Wharf",Small,USHYG,http://www.worldportsource.com/ports/USA_AK_Port_of_Hydaburg_3591.php
Port Itawamba,"34° 14' 32"" N","88° 24' 56"" W",River Port,Very Small,,http://www.worldportsource.com/ports/USA_MS_Port_Itawamba_1549.php
Hyannis Harbor *,"41° 38' 50"" N","70° 16' 31"" W",Harbor,Small,USHYA,http://www.worldportsource.com/ports/USA_MA_Hyannis_Harbor_3589.php
Port of Huron *,"41° 23' 30"" N","82° 33' 7"" W",Harbor,Small,USHUB,http://www.worldportsource.com/ports/USA_OH_Port_of_Huron_3588.php
Jacintoport,"29° 44' 57"" N","95° 6' 39"" W",Seaport,Medium,,http://www.worldportsource.com/ports/USA_TX_Jacintoport_4135.php
Port of Ilwaco *,"46° 18' 13"" N","124° 2' 22"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_WA_Port_of_Ilwaco_3871.php
Port of Terrebonne *,"29° 34' 23"" N","90° 42' 52"" W",River Port,Small,,http://www.worldportsource.com/ports/USA_LA_Port_of_Terrebonne_4897.php
Houghton Harbor,"47° 7' 3"" N","88° 33' 40"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_MI_Houghton_Harbor_5353.php
Hoquiam Harbor *,"46° 58' 19"" N","123° 52' 46"" W","Pier, Jetty or Wharf",Small,USHQM,http://www.worldportsource.com/ports/USA_WA_Hoquiam_Harbor_4094.php
Port of Hoonah *,"58° 6' 31"" N","135° 26' 53"" W",Harbor,Small,USHNH,http://www.worldportsource.com/ports/USA_AK_Port_of_Hoonah_3484.php
Pearl Harbor *,"21° 21' 7"" N","157° 57' 53"" W",Deepwater Seaport,Very Large,USHNL,http://www.worldportsource.com/ports/USA_HI_Pearl_Harbor_831.php
Port of Hopewell *,"37° 18' 23"" N","77° 16' 29"" W",Seaport,Small,,http://www.worldportsource.com/ports/USA_VA_Port_of_Hopewell_3749.php
"Kewalo Basin, Oahu *","21° 17' 33"" N","157° 51' 26"" W",Harbor,Small,USHNL,http://www.worldportsource.com/ports/USA_HI_Kewalo_Basin_Oahu_823.php
Port of Homer *,"59° 36' 18"" N","151° 25' 29"" W",Harbor,Small,USHOM,http://www.worldportsource.com/ports/USA_AK_Port_of_Homer_3483.php
Hollis Harbor,"55° 29' 27"" N","132° 37' 20"" W","Pier, Jetty or Wharf",Very Small,USHSH,http://www.worldportsource.com/ports/USA_AK_Hollis_Harbor_4134.php
Holm Pier,"58° 53' 48"" N","2° 54' 29"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/GBR_Holm_Pier_4506.php
Ala Wai Harbor *,"21° 17' 5"" N","157° 50' 33"" W",Harbor,Small,USHNL,http://www.worldportsource.com/ports/USA_HI_Ala_Wai_Harbor_3320.php
Holland Harbor *,"42° 46' 49"" N","86° 9' 44"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_MI_Holland_Harbor_3587.php
Port of Skigersta,"58° 28' 41"" N","6° 12' 21"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/GBR_Port_of_Skigersta_2846.php
St Aubin Harbour,"49° 11' 11"" N","2° 10' 7"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_St_Aubin_Harbour_3886.php
St Margaret's Hope Pier,"58° 49' 57"" N","2° 57' 45"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/GBR_St_Margaret_s_Hope_Pier_4518.php
St Helier Harbour,"49° 10' 33"" N","2° 6' 57"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_St_Helier_Harbour_3885.php
Port of Silloth,"54° 52' 5"" N","3° 23' 38"" W",Harbor,Small,GBSIL,http://www.worldportsource.com/ports/GBR_Port_of_Silloth_1009.php
Solva Harbor,"51° 52' 20"" N","5° 11' 38"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_Solva_Harbor_3848.php
Shoreham Port,"50° 49' 48"" N","0° 13' 35"" W",Harbor,Small,GBSHO,http://www.worldportsource.com/ports/GBR_Shoreham_Port_1372.php
Shell Haven,"51° 30' 40"" N","0° 33' 27"" E",Seaport,Medium,GBSHV,http://www.worldportsource.com/ports/GBR_Shell_Haven_4557.php
Port of Sheerness,"51° 26' 22"" N","0° 44' 38"" E",Seaport,Medium,GBSHS,http://www.worldportsource.com/ports/GBR_Port_of_Sheerness_1360.php
Shotton Harbor,"53° 13' 16"" N","3° 3' 17"" W","Pier, Jetty or Wharf",Very Small,GBSHT,http://www.worldportsource.com/ports/GBR_Shotton_Harbor_4558.php
Sharpness Dock,"51° 43' 17"" N","2° 28' 34"" W",Seaport,Small,GBSSS,http://www.worldportsource.com/ports/GBR_Sharpness_Dock_4198.php
Seaton Sluice Harbor,"55° 5' 4"" N","1° 28' 26"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/GBR_Seaton_Sluice_Harbor_3832.php
Port of Selby,"53° 47' 9"" N","1° 3' 57"" W",River Port,Very Small,GBSLB,http://www.worldportsource.com/ports/GBR_Port_of_Selby_3858.php
Port of Seaham,"54° 50' 12"" N","1° 19' 33"" W",Harbor,Small,GBSEA,http://www.worldportsource.com/ports/GBR_Port_of_Seaham_1338.php
Scrabster Harbor,"58° 36' 41"" N","3° 32' 43"" W",Harbor,Small,GBSCR,http://www.worldportsource.com/ports/GBR_Scrabster_Harbor_1371.php
Port of Scarborough,"54° 16' 59"" N","0° 23' 22"" W",Harbor,Small,GBSCA,http://www.worldportsource.com/ports/GBR_Port_of_Scarborough_2924.php
Scapa Pier,"58° 57' 23"" N","2° 58' 16"" W","Pier, Jetty or Wharf",Small,GBSFW,http://www.worldportsource.com/ports/GBR_Scapa_Pier_2908.php
Scapa Flow,"58° 53' 16"" N","3° 3' 12"" W",Waterway Region,Large,GBSFW,http://www.worldportsource.com/ports/GBR_Scapa_Flow_4499.php
Port of Scalpay,"57° 52' 32"" N","6° 41' 46"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/GBR_Port_of_Scalpay_2839.php
Port of Marmaris,"36° 50' 58"" N","28° 16' 47"" E",Harbor,Small,TRMRM,http://www.worldportsource.com/ports/TUR_Port_of_Marmaris_3646.php
Port of Karabiga,"40° 24' 8"" N","27° 18' 24"" E",Harbor,Small,TRKRB,http://www.worldportsource.com/ports/TUR_Port_of_Karabiga_3645.php
Port of Kusadasi,"37° 52' 0"" N","27° 15' 31"" E",Seaport,Small,TRKUS,http://www.worldportsource.com/ports/TUR_Port_of_Kusadasi_3635.php
Port of Izmit,"40° 45' 30"" N","29° 54' 49"" E",Seaport,Small,TRIZT,http://www.worldportsource.com/ports/TUR_Port_of_Izmit_3644.php
Port of Iskenderun,"36° 35' 57"" N","36° 11' 8"" E",Harbor,Small,TRISK,http://www.worldportsource.com/ports/TUR_Port_of_Iskenderun_2068.php
Port of Inebolu,"41° 58' 46"" N","33° 46' 3"" E",Harbor,Small,TRINE,http://www.worldportsource.com/ports/TUR_Port_of_Inebolu_3643.php
Scalloway Harbour,"60° 8' 7"" N","1° 16' 51"" W",Harbor,Small,GBSWY,http://www.worldportsource.com/ports/GBR_Scalloway_Harbour_2141.php
Port of Mudanya,"40° 22' 37"" N","28° 52' 51"" E",Harbor,Small,TRMUD,http://www.worldportsource.com/ports/TUR_Port_of_Mudanya_3647.php
Icdas Jetty,"40° 27' 18"" N","27° 18' 2"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/TUR_Icdas_Jetty_3642.php
Port of Hopa,"41° 24' 43"" N","41° 25' 48"" E",Harbor,Small,TRHOP,http://www.worldportsource.com/ports/TUR_Port_of_Hopa_2069.php
Port of Gocek,"36° 45' 12"" N","28° 56' 1"" E",Harbor,Small,TRGCK,http://www.worldportsource.com/ports/TUR_Port_of_Gocek_3639.php
Port of Gelibolu,"40° 24' 19"" N","26° 40' 13"" E",Harbor,Small,TRGEL,http://www.worldportsource.com/ports/TUR_Port_of_Gelibolu_3633.php
Port of Finike,"36° 17' 38"" N","30° 9' 0"" E",Harbor,Small,TRFIN,http://www.worldportsource.com/ports/TUR_Port_of_Finike_3638.php
Port of Gulluk,"37° 14' 18"" N","27° 35' 45"" E",Seaport,Small,TRGUL,http://www.worldportsource.com/ports/TUR_Port_of_Gulluk_3641.php
Port of Gorele,"41° 2' 3"" N","39° 0' 13"" E",Harbor,Small,TRGOR,http://www.worldportsource.com/ports/TUR_Port_of_Gorele_3640.php
"Hilo Harbor, Hawaii *","19° 44' 0"" N","155° 4' 11"" W",Harbor,Small,USITO,http://www.worldportsource.com/ports/USA_HI_Hilo_Harbor_Hawaii_827.php
Port of Giresun,"40° 55' 7"" N","38° 22' 49"" E",Harbor,Small,TRGIR,http://www.worldportsource.com/ports/TUR_Port_of_Giresun_2071.php
Hickman Riverport,"36° 34' 17"" N","89° 12' 7"" W",River Port,Very Small,,http://www.worldportsource.com/ports/USA_KY_Hickman_Riverport_4845.php
Henderson County Riverport,"37° 49' 7"" N","87° 39' 26"" W",River Port,Very Small,,http://www.worldportsource.com/ports/USA_KY_Henderson_County_Riverport_4846.php
Port of Fethiye,"36° 37' 34"" N","29° 6' 10"" E",Harbor,Small,TRFET,http://www.worldportsource.com/ports/TUR_Port_of_Fethiye_3637.php
City Yacht Basin,"39° 32' 15"" N","76° 5' 26"" W",Marina,Small,,http://www.worldportsource.com/ports/USA_MD_City_Yacht_Basin_5293.php
Port of Hannibal,"39° 42' 41"" N","91° 21' 14"" W",River Port,Very Small,,http://www.worldportsource.com/ports/USA_MO_Port_of_Hannibal_4830.php
Port of Hartford *,"41° 44' 58"" N","72° 39' 12"" W",River Port,Small,,http://www.worldportsource.com/ports/USA_CT_Port_of_Hartford_3732.php
Gustavus Harbor,"58° 23' 25"" N","135° 43' 46"" W","Pier, Jetty or Wharf",Very Small,USGST,http://www.worldportsource.com/ports/USA_AK_Gustavus_Harbor_4133.php
Pillar Point Harbor *,"37° 29' 40"" N","122° 28' 51"" W",Harbor,Small,USHAF,http://www.worldportsource.com/ports/USA_CA_Pillar_Point_Harbor_2312.php
Port of Guntersville *,"34° 21' 24"" N","86° 17' 3"" W",River Port,Small,,http://www.worldportsource.com/ports/USA_AL_Port_of_Guntersville_4843.php
Port of Gulfport *,"30° 21' 31"" N","89° 5' 29"" W",Seaport,Small,USGPT,http://www.worldportsource.com/ports/USA_MS_Port_of_Gulfport_58.php
Port of Gretna *,"29° 55' 15"" N","90° 3' 39"" W",River Port,Small,USGTL,http://www.worldportsource.com/ports/USA_LA_Port_of_Gretna_4132.php
Port of Haines,"59° 13' 51"" N","135° 26' 14"" W",Harbor,Small,USHNS,http://www.worldportsource.com/ports/USA_AK_Port_of_Haines_2881.php
Port of Groton *,"41° 20' 19"" N","72° 4' 48"" W",Seaport,Small,USZGO,http://www.worldportsource.com/ports/USA_CT_Port_of_Groton_3091.php
Port of Hackensack *,"40° 53' 7"" N","74° 2' 4"" W",River Port,Small,USHCK,http://www.worldportsource.com/ports/USA_NJ_Port_of_Hackensack_3094.php
Greenwich Harbor *,"41° 0' 51"" N","73° 37' 30"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_CT_Greenwich_Harbor_4550.php
Port of Greenville *,"33° 22' 2"" N","91° 6' 5"" W",River Port,Small,USGLH,http://www.worldportsource.com/ports/USA_MS_Port_of_Greenville_1550.php
Greenport Harbor *,"41° 6' 12"" N","72° 21' 32"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_NY_Greenport_Harbor_4131.php
Port of Green Bay,"44° 30' 49"" N","88° 1' 13"" W",Seaport,Small,USGRB,http://www.worldportsource.com/ports/USA_WI_Port_of_Green_Bay_2945.php
Grand Haven Marina,"43° 4' 20"" N","86° 13' 31"" W",Marina,Very Small,USGHN,http://www.worldportsource.com/ports/USA_MI_Grand_Haven_Marina_3579.php
Port of Granite City *,"38° 42' 38"" N","90° 10' 32"" W",River Port,Small,,http://www.worldportsource.com/ports/USA_IL_Port_of_Granite_City_3766.php
Gold Beach Harbor,"42° 25' 18"" N","124° 25' 13"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_OR_Gold_Beach_Harbor_5292.php
Port of Gramercy *,"30° 2' 26"" N","90° 41' 2"" W",River Port,Small,USGRY,http://www.worldportsource.com/ports/USA_LA_Port_of_Gramercy_1801.php
Saundersfoot Harbor,"51° 42' 34"" N","4° 41' 50"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_Saundersfoot_Harbor_3847.php
Sandhaven Harbour,"57° 41' 47"" N","2° 3' 25"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/GBR_Sandhaven_Harbour_2806.php
Port of Saltend,"53° 43' 41"" N","0° 14' 37"" W","Pier, Jetty or Wharf",Small,GBSED,http://www.worldportsource.com/ports/GBR_Port_of_Saltend_4556.php
Port of Saltburn,"57° 41' 26"" N","4° 8' 30"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/GBR_Port_of_Saltburn_4555.php
Salcombe Harbour,"50° 14' 25"" N","3° 46' 1"" W",Harbor,Small,GBSCB,http://www.worldportsource.com/ports/GBR_Salcombe_Harbour_1370.php
Runcorn Docks,"53° 20' 19"" N","2° 45' 3"" W",River Port,Small,GBRUN,http://www.worldportsource.com/ports/GBR_Runcorn_Docks_4492.php
Trumland Pier,"59° 7' 49"" N","2° 59' 9"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/GBR_Trumland_Pier_4514.php
Port of Rowhedge,"51° 51' 23"" N","0° 57' 0"" E",River Port,Small,GBROW,http://www.worldportsource.com/ports/GBR_Port_of_Rowhedge_2827.php
Rothesay Harbor,"55° 50' 18"" N","5° 3' 11"" W",Harbor,Very Small,GBRAY,http://www.worldportsource.com/ports/GBR_Rothesay_Harbor_4485.php
Ryde Harbor,"50° 44' 7"" N","1° 9' 24"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_Ryde_Harbor_3831.php
Rye Harbor,"50° 56' 24"" N","0° 45' 27"" E",Harbor,Small,GBRYE,http://www.worldportsource.com/ports/GBR_Rye_Harbor_4554.php
Port of Rosyth *,"56° 1' 19"" N","3° 26' 39"" W",Seaport,Medium,GBROY,http://www.worldportsource.com/ports/GBR_Port_of_Rosyth_2878.php
Rosehearty Harbour,"57° 41' 57"" N","2° 6' 49"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_Rosehearty_Harbour_2804.php
Richborough Port,"51° 17' 52"" N","1° 20' 57"" E",River Port,Small,,http://www.worldportsource.com/ports/GBR_Richborough_Port_4553.php
Rapness Terminal,"59° 14' 55"" N","2° 51' 32"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/GBR_Rapness_Terminal_4523.php
Ramsey Harbor,"54° 19' 19"" N","4° 22' 35"" W",Harbor,Small,,http://www.worldportsource.com/ports/GBR_Ramsey_Harbor_3819.php
Queenborough Harbor,"51° 24' 56"" N","0° 44' 33"" E",Harbor,Small,GBQUB,http://www.worldportsource.com/ports/GBR_Queenborough_Harbor_4552.php
Port of Purfleet,"51° 28' 25"" N","0° 14' 52"" E",River Port,Medium,GBPFT,http://www.worldportsource.com/ports/GBR_Port_of_Purfleet_4551.php
Portsoy Harbour,"57° 41' 7"" N","2° 41' 22"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/GBR_Portsoy_Harbour_2803.php
Portsmouth Continental Ferry Port *,"50° 48' 27"" N","1° 6' 0"" W",Seaport,Medium,GBPME,http://www.worldportsource.com/ports/GBR_Portsmouth_Continental_Ferry_Port_1368.php
Port of Renfrew,"55° 52' 33"" N","4° 22' 0"" W",River Port,Small,,http://www.worldportsource.com/ports/GBR_Port_of_Renfrew_4463.php
Port of Ramsgate,"51° 19' 37"" N","1° 25' 4"" E",Seaport,Small,GBRMG,http://www.worldportsource.com/ports/GBR_Port_of_Ramsgate_1369.php
Port of Fatsa,"41° 2' 38"" N","37° 29' 18"" E",Harbor,Small,TRFAS,http://www.worldportsource.com/ports/TUR_Port_of_Fatsa_3636.php
Port of Dikili,"39° 4' 14"" N","26° 53' 12"" E","Pier, Jetty or Wharf",Small,TRDIK,http://www.worldportsource.com/ports/TUR_Port_of_Dikili_3634.php
Botas (Ceyhan) Oil Terminal,"36° 52' 30"" N","35° 55' 52"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/TUR_Botas_Ceyhan_Oil_Terminal_3631.php
Port of Poliport *,"40° 46' 4"" N","29° 31' 32"" E",Port Terminal,Medium,,http://www.worldportsource.com/ports/TUR_Port_of_Poliport_2080.php
Port of Bartin,"41° 41' 11"" N","32° 13' 43"" E",Seaport,Small,TRBTN,http://www.worldportsource.com/ports/TUR_Port_of_Bartin_2073.php
Port of Cesme,"38° 19' 24"" N","26° 17' 56"" E",Harbor,Small,TRCES,http://www.worldportsource.com/ports/TUR_Port_of_Cesme_2062.php
Port of Bandirma,"40° 21' 15"" N","27° 57' 41"" E",Seaport,Small,TRBDM,http://www.worldportsource.com/ports/TUR_Port_of_Bandirma_2065.php
Port of Ayvalik,"39° 19' 12"" N","26° 41' 29"" E",Harbor,Small,,http://www.worldportsource.com/ports/TUR_Port_of_Ayvalik_4628.php
Bosphorus (Istanbul) Strait,"41° 6' 18"" N","29° 3' 51"" E",Waterway Region,Large,,http://www.worldportsource.com/ports/TUR_Bosphorus_Istanbul_Strait_2076.php
Port of Eregli,"41° 16' 32"" N","31° 24' 26"" E",Seaport,Medium,TRERE,http://www.worldportsource.com/ports/TUR_Port_of_Eregli_2075.php
Port of Bodrum,"37° 1' 47"" N","27° 25' 46"" E",Harbor,Small,TRBXN,http://www.worldportsource.com/ports/TUR_Port_of_Bodrum_2059.php
Port of Alemdar,"40° 46' 6"" N","29° 32' 14"" E",Port Terminal,Small,,http://www.worldportsource.com/ports/TUR_Port_of_Alemdar_2082.php
Port of Akdeniz,"36° 50' 4"" N","30° 36' 29"" E",Seaport,Small,,http://www.worldportsource.com/ports/TUR_Port_of_Akdeniz_3652.php
Port of Mersin *,"36° 47' 49"" N","34° 38' 41"" E",Seaport,Medium,TRMER,http://www.worldportsource.com/ports/TUR_Port_of_Mersin_2067.php
Port of Georgetown *,"33° 21' 43"" N","79° 17' 21"" W",River Port,Small,USGGE,http://www.worldportsource.com/ports/USA_SC_Port_of_Georgetown_188.php
Port of Alanya,"36° 32' 19"" N","32° 0' 3"" E",Harbor,Small,TRALA,http://www.worldportsource.com/ports/TUR_Port_of_Alanya_2058.php
Port of Geismar *,"30° 11' 12"" N","91° 0' 57"" W",River Port,Small,USGSM,http://www.worldportsource.com/ports/USA_LA_Port_of_Geismar_4129.php
Port of Izmir *,"38° 26' 38"" N","27° 9' 22"" E",Seaport,Medium,,http://www.worldportsource.com/ports/TUR_Port_of_Izmir_2061.php
Port of South Louisiana,"30° 3' 0"" N","90° 37' 5"" W",River Port,Small,USGYV,http://www.worldportsource.com/ports/USA_LA_Port_of_South_Louisiana_4128.php
Gloucester Marine Terminal *,"39° 54' 13"" N","75° 7' 34"" W",River Port,Small,USGLC,http://www.worldportsource.com/ports/USA_NJ_Gloucester_Marine_Terminal_1799.php
Port of Gary *,"41° 36' 58"" N","87° 19' 29"" W",Seaport,Small,,http://www.worldportsource.com/ports/USA_IN_Port_of_Gary_3734.php
Friendship Harbor,"43° 58' 25"" N","69° 20' 28"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_ME_Friendship_Harbor_4151.php
Port of Friday Harbor *,"48° 32' 15"" N","123° 0' 42"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_WA_Port_of_Friday_Harbor_3757.php
Frenchboro Harbor,"44° 7' 6"" N","68° 21' 50"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/USA_ME_Frenchboro_Harbor_4172.php
Port Freeport *,"28° 57' 2"" N","95° 19' 9"" W",Seaport,Medium,USFPO,http://www.worldportsource.com/ports/USA_TX_Port_Freeport_32.php
Freeport Harbor *,"43° 49' 10"" N","70° 6' 23"" W",Harbor,Small,USREP,http://www.worldportsource.com/ports/USA_ME_Freeport_Harbor_2403.php
Gloucester Harbor *,"42° 36' 41"" N","70° 39' 16"" W",Seaport,Medium,USGLO,http://www.worldportsource.com/ports/USA_MA_Gloucester_Harbor_1800.php
Port of Garfield,"46° 42' 7"" N","117° 28' 18"" W",River Port,Very Small,USGAF,http://www.worldportsource.com/ports/USA_WA_Port_of_Garfield_3585.php
Port of Fort Smith,"35° 22' 0"" N","94° 25' 54"" W",River Port,Very Small,,http://www.worldportsource.com/ports/USA_AR_Port_of_Fort_Smith_4850.php
Port of Fort Pierce *,"27° 27' 47"" N","80° 18' 47"" W",Harbor,Small,USFPR,http://www.worldportsource.com/ports/USA_FL_Port_of_Fort_Pierce_1793.php
Noyo Harbor *,"39° 25' 37"" N","123° 48' 29"" W",Harbor,Very Small,USFOB,http://www.worldportsource.com/ports/USA_CA_Noyo_Harbor_2313.php
Port of Fernandina,"30° 40' 52"" N","81° 27' 44"" W",Seaport,Small,USFEB,http://www.worldportsource.com/ports/USA_FL_Port_of_Fernandina_1792.php
Port of Ferrysburg,"43° 4' 53"" N","86° 12' 39"" W",Harbor,Small,,http://www.worldportsource.com/ports/USA_MI_Port_of_Ferrysburg_3741.php
Port of Florence,"34° 47' 37"" N","87° 39' 1"" W",River Port,Very Small,,http://www.worldportsource.com/ports/USA_AL_Port_of_Florence_4842.php
Portree Harbor,"57° 24' 41"" N","6° 11' 21"" W",Harbor,Very Small,GBPRT,http://www.worldportsource.com/ports/GBR_Portree_Harbor_4546.php
